osm_id,osm_type,building_material,addr_housenumber,name,roof_material,addr_street,building,access_roof,longitude,latitude,geom_type
502927356,ways_poly,,,Unnamed Buiilding,,,yes,,5.13978144951584,7.30422810563305,POLYGON
711995953,ways_poly,,,Student Union Building(PART),,,yes,,5.139396,7.30439375,POLYGON
502926798,ways_poly,,,Student Union Building(PART),,,yes,,5.13953490039719,7.30430169506206,POLYGON
1169557984,ways_poly,,,,,,yes,,5.1405653655358,7.3033731564916,POLYGON
711995952,ways_poly,,,INDOOR GAMES BUILDING,,,yes,,5.13959186891585,7.30397334762194,POLYGON
791903674,ways_poly,,,FUTA GYM BUILDING,,,yes,,5.1393513452143,7.30406065995624,POLYGON
714680929,ways_poly,,,,,,yes,,5.13914750492612,7.30346002010489,POLYGON
1169561248,ways_poly,,,,,,yes,,5.13905655,7.3009207,POLYGON
1169560775,ways_poly,,,,,,yes,,5.1390208,7.299783,POLYGON
502927360,ways_poly,,,JIBOWU AND ABIOLA ENTRANCE,,,yes,,5.14174225786967,7.30404885306492,POLYGON
1215519016,ways_poly,,,,,,yes,,5.14200505,7.3046406,POLYGON
1215519076,ways_poly,,,,,,yes,,5.14323362067807,7.30177993200332,POLYGON
1215519077,ways_poly,,,,,,yes,,5.14315855,7.3018819,POLYGON
1215519078,ways_poly,,,,,,yes,,5.14309459152612,7.30197708519677,POLYGON
1169557962,ways_poly,,,Shop,,,yes,,5.14115811621122,7.30273670214026,POLYGON
1169557967,ways_poly,,,Shop,,,yes,,5.14132886388379,7.30253623457581,POLYGON
1169557969,ways_poly,,,Shop,,,yes,,5.14119468441595,7.3027803529399,POLYGON
1169557977,ways_poly,,,Shop,,,yes,,5.14099927682235,7.30292505787157,POLYGON
1169557979,ways_poly,,,Shop,,,yes,,5.1409517,7.30299585,POLYGON
1169557981,ways_poly,,,Shop,,,yes,,5.14088451571515,7.30316439726505,POLYGON
1169558001,ways_poly,,,Shop,,,yes,,5.1420449,7.30188015,POLYGON
1169558003,ways_poly,,,,,,yes,,5.1445425,7.30003145,POLYGON
1169560766,ways_poly,,,Shop,,,yes,,5.140855,7.3031932,POLYGON
1169561249,ways_poly,,,,,,yes,,5.1389381,7.3001882,POLYGON
714408339,ways_poly,,,MKO ABIOLA HOSTEL PORTER'S LODGE,,,yes,,5.14241831395725,7.30445630930705,POLYGON
793775093,ways_poly,,,ABANDONED WAREHOUSE,,,warehouse,,5.1407962908978,7.30478465944703,POLYGON
793775094,ways_poly,,,ABANDONED WAREHOUSE,,,warehouse,,5.14049748860661,7.3049004684007,POLYGON
783273193,ways_poly,,,,,,yes,,5.1420609,7.30339885,POLYGON
713609339,ways_poly,,,,,,farm,,5.14466120266812,7.30008023317865,POLYGON
709616969,ways_poly,,,,,,yes,,5.13917272109311,7.30029244398077,POLYGON
713609335,ways_poly,,,,,,farm,,5.14437810688332,7.29979551471655,POLYGON
713609336,ways_poly,,,,,,farm,,5.1442963,7.2997815,POLYGON
713609337,ways_poly,,,,,,farm,,5.14428052891803,7.29987862991124,POLYGON
713609341,ways_poly,,,loafing shed,,,farm,,5.14421925,7.30024505,POLYGON
713609338,ways_poly,,,hutches,,,farm,,5.14426747378955,7.30010525302931,POLYGON
713609343,ways_poly,,,poultry,,,farm,,5.14426312973188,7.30048529609788,POLYGON
713609345,ways_poly,,,,,,farm,,5.14422154108333,7.30075732638483,POLYGON
1169557948,ways_poly,,,Shop,,,yes,,5.14169116543433,7.30235203271506,POLYGON
1169557964,ways_poly,,,Shop,,,yes,,5.14126518481287,7.30269990553494,POLYGON
1169557950,ways_poly,,,Shop,,,yes,,5.1408992346954,7.30312200217159,POLYGON
792295896,ways_poly,,,,,,yes,,5.14212801786403,7.3034845984215,POLYGON
1215519060,ways_poly,,,,,,yes,,5.14323480091723,7.30291273321383,POLYGON
1213815038,ways_poly,,,,,,yes,,5.14405516978092,7.30181104110342,POLYGON
1213815036,ways_poly,,,,,,yes,,5.14395539760831,7.3019169166116,POLYGON
1213815035,ways_poly,,,,,,yes,,5.14376522065238,7.30213641144814,POLYGON
713609347,ways_poly,,,Futascoop Hostel,,,yes,,5.14329923089299,7.30093877953744,POLYGON
713609349,ways_poly,,,,,,yes,,5.1437894,7.30134405,POLYGON
713609346,ways_poly,,,piggery,,,farm,,5.14426604230937,7.30084930499459,POLYGON
713609342,ways_poly,,,,,,farm,,5.1445744,7.3003886,POLYGON
713609340,ways_poly,,,,,,farm,,5.14458878211253,7.30019924921723,POLYGON
713609334,ways_poly,,,,,,farm,,5.14469929011312,7.29939282384907,POLYGON
713609329,ways_poly,,,STAFF QUARTERS,,,yes,,5.14608005,7.2986287,POLYGON
713609326,ways_poly,,,STAFF QUARTERS,,,yes,,5.14641450558289,7.298412327548,POLYGON
713609330,ways_poly,,,STAFF QUARTERS,,,yes,,5.14564393033952,7.29862168057423,POLYGON
799304892,ways_poly,,,BISI BALOGUN HOSTEL,,,dormitory,,5.14621246178903,7.29781101273574,POLYGON
783273200,ways_poly,,,,,,yes,,5.14751142146118,7.29806425538549,POLYGON
1169557949,ways_poly,,,Shop,,,yes,,5.14093616741306,7.30306345578166,POLYGON
1169557957,ways_poly,,,Shop,,,yes,,5.14154519534006,7.30244421520424,POLYGON
1169557958,ways_poly,,,Shop,,,yes,,5.14145016438776,7.30250514267748,POLYGON
1169557980,ways_poly,,,Shop,,,yes,,5.141004,7.3029806,POLYGON
1169557992,ways_poly,,,Shop,,,yes,,5.14166785,7.3023138,POLYGON
1169558002,ways_poly,,,,,,yes,,5.14426422432721,7.30059565945642,POLYGON
1169558006,ways_poly,,,,,,yes,,5.14527697901525,7.29816734974008,POLYGON
793542809,ways_poly,,,,,,yes,,5.14654848351669,7.29750846782109,POLYGON
713609344,ways_poly,,,brooders house,,,farm,,5.1445126,7.30075115,POLYGON
716663071,ways_poly,,,IDD STUDIO,,,yes,,5.149256591049,7.29688043640721,POLYGON
783273197,ways_poly,,,,,,yes,,5.14195296316419,7.30247324408958,POLYGON
783273199,ways_poly,,,,,,yes,,5.14766445573204,7.29798458348455,POLYGON
716663066,ways_poly,,,,,,yes,,5.14930543243773,7.29702463351746,POLYGON
716663074,ways_poly,,,,,,yes,,5.14714255,7.29672385,POLYGON
713604431,ways_poly,,,,,,yes,,5.14627893457734,7.29668458549548,POLYGON
503640037,ways_poly,,,,,,yes,,5.14042305,7.3011461,POLYGON
1169557947,ways_poly,,,,,,yes,,5.13074619649046,7.29891006349254,POLYGON
1039276050,ways_poly,,,,,,yes,,5.12719207944914,7.29689101713823,POLYGON
582042870,ways_poly,,,,,,yes,,5.13024126406546,7.30534866592957,POLYGON
712000490,ways_poly,,,,,,yes,,5.1309596663453,7.30577456673583,POLYGON
712000491,ways_poly,,,STAFF QUARTERS,,,yes,,5.13097419292844,7.305957570242,POLYGON
708287154,ways_poly,,,,,,yes,,5.13263622478698,7.29749075168065,POLYGON
1021067586,ways_poly,,,School of Computing (SCOM),,,yes,,5.1319854,7.3047696,POLYGON
1169557939,ways_poly,,,,,,yes,,5.13413926255148,7.29708767961509,POLYGON
1020773046,ways_poly,,,,,,yes,,5.1275462,7.3067915,POLYGON
823823876,ways_poly,,,,,,yes,,5.13343289756811,7.2973159255036,POLYGON
502937323,ways_poly,,,LT 2,,,yes,,5.13461479427876,7.30255037976164,POLYGON
794645111,ways_poly,,,,,,yes,,5.1233821,7.30355605,POLYGON
794651542,ways_poly,,,,,,yes,,5.1276029,7.3054229,POLYGON
711288914,ways_poly,,,STAFF QUARTERS,,,yes,,5.12959755,7.3050049,POLYGON
503311401,ways_poly,,,Industrial Building,,,yes,,5.13297921532406,7.30300319393372,POLYGON
711288924,ways_poly,,,Lecture Building,,,yes,,5.1276747369595,7.30470937387357,POLYGON
708311026,ways_poly,,,,,,yes,,5.13376994616035,7.30152836791413,POLYGON
711288898,ways_poly,,,,,,yes,,5.12930605580326,7.30756762410885,POLYGON
711288899,ways_poly,,,,,,yes,,5.12956689024657,7.30781587399464,POLYGON
711288900,ways_poly,,,,,,yes,,5.12992579350332,7.30758339877841,POLYGON
708287147,ways_poly,,,1000 Lecture Theater,,,yes,,5.13199504222898,7.29803214095511,POLYGON
713113765,ways_poly,,,,,,yes,,5.13504908899604,7.29696152779719,POLYGON
712000487,ways_poly,,,,,,yes,,5.13070605,7.30681265,POLYGON
712000493,ways_poly,,,,,,yes,,5.13077239201089,7.30486077169012,POLYGON
712000496,ways_poly,,,,,,yes,,5.1314729,7.3050654,POLYGON
712000512,ways_poly,,,,,,yes,,5.13154283251607,7.30398357261358,POLYGON
711288892,ways_poly,,,,,,yes,,5.12910897300555,7.30662955386348,POLYGON
711288902,ways_poly,,,,,,yes,,5.12742199340194,7.30524357252584,POLYGON
711288908,ways_poly,,,,,,yes,,5.129384,7.305695,POLYGON
711288917,ways_poly,,,,,,yes,,5.12941677570732,7.30476304566685,POLYGON
711288919,ways_poly,,,,,,yes,,5.12865272575975,7.30424149520022,POLYGON
711288921,ways_poly,,,,,,yes,,5.12652196129538,7.3034184864126,POLYGON
708761379,ways_poly,,,,,,yes,,5.12374693180923,7.30301259506311,POLYGON
708761380,ways_poly,,,,,,yes,,5.12344341945085,7.3032995872416,POLYGON
708291775,ways_poly,,,,,,yes,,5.13388934056183,7.2979679301291,POLYGON
708291776,ways_poly,,,,,,yes,,5.13391935,7.29789805,POLYGON
708294470,ways_poly,,,,,,yes,,5.1345707,7.29924125,POLYGON
708294471,ways_poly,,,,,,yes,,5.13464502105758,7.29919719354189,POLYGON
510548907,ways_poly,,,,,,yes,,5.13394325693263,7.30598302236887,POLYGON
473857462,ways_poly,,,,,,yes,,5.12485675,7.30984595,POLYGON
709619050,ways_poly,,,filling station and power house,,,yes,,5.13657105548144,7.30072996934436,POLYGON
709601154,ways_poly,,,,,,roof,,5.13633014240216,7.29884807167927,POLYGON
708311027,ways_poly,,,,,,yes,,5.13361212760324,7.30169911902506,POLYGON
793587104,ways_poly,,,,,,construction,,5.13319049101162,7.3023939280728,POLYGON
823823875,ways_poly,,,,,,yes,,5.13357506995983,7.29744308321517,POLYGON
1169557940,ways_poly,,,,,,yes,,5.13584441270818,7.29732052967332,POLYGON
1169557946,ways_poly,,,,,,yes,,5.13307157416463,7.30344119225754,POLYGON
1020771468,ways_poly,,,,,,yes,,5.13835544612205,7.30000977792832,POLYGON
793546834,ways_poly,,,,,,yes,,5.1357303117578,7.3057246713095,POLYGON
708271365,ways_poly,,,SAAT ANEX,,,college,,5.13356366607767,7.29924947756325,POLYGON
712000516,ways_poly,,,Security Building,,,yes,,5.13228333100633,7.30287125474765,POLYGON
793168291,ways_poly,,,,,,construction,,5.13491810160375,7.29935213099883,POLYGON
708298884,ways_poly,,,SOS Extension,,,yes,,5.13354629625281,7.30212992908145,POLYGON
709052030,ways_poly,,,First bank Nigeria,,,yes,,5.13892695,7.29987465,POLYGON
708287146,ways_poly,,,1000 Lecture Theater,,,yes,,5.13220028711896,7.29768500814481,POLYGON
708287148,ways_poly,,,1000 Lecture Theater,,,yes,,5.13236921404588,7.2980281466936,POLYGON
708287145,ways_poly,,,,,,greenhouse,,5.13323077339117,7.29823372838574,POLYGON
708287152,ways_poly,,,,,,yes,,5.1336101257487,7.29797415282672,POLYGON
708311022,ways_poly,,,ETF rest room,,,yes,,5.13609003325298,7.30220421058701,POLYGON
1169558004,ways_poly,,,New FUTA Clinic,,,yes,,5.1451592610226,7.2975731783187,POLYGON
1215519059,ways_poly,,,,,,yes,,5.14258335090364,7.30299581675619,POLYGON
1169557951,ways_poly,,,Shop,,,yes,,5.14204458328559,7.30205055128599,POLYGON
1169557959,ways_poly,,,Shop,,,yes,,5.14141478000188,7.30253572184661,POLYGON
1169557972,ways_poly,,,Shop,,,yes,,5.14116331668831,7.3028293518828,POLYGON
1169557983,ways_poly,,,,,,yes,,5.14062055,7.3034115,POLYGON
709052021,ways_poly,,,FUTA STAFF COOPERATIVE SOCIETY SECTERIAT,,,yes,,5.13755499872915,7.29818511648891,POLYGON
1021065633,ways_poly,,,,,,yes,,5.13088545,7.29979065,POLYGON
1020772117,ways_poly,,,,,,yes,,5.12993184684597,7.29882388536207,POLYGON
